amount,venue,address,city,state,zip,type
125438.40,Charity Bomb Inc - SVOG,15752 Seaton Place ,Bradenton,FL,34202,Live venue operator or promoter
587448.00,"Florida Cultural Group, Inc. - SVOG",502 Third Ave W ,Bradenton,FL,34205,Live performing arts organization operator
84587.85,"Ragemore Events, LLC - SVOG",2212 sw 3rd ter ,Cape Coral,fl,33991,Live venue operator or promoter
4935.00,Alfonsa Darmaine Riley Sr - SVOG,1104 South San Remo Ave,Clearwater,FL,33756,Talent representative
358836.81,"Clearwater Jazz Holiday Foundation, Inc. - SVOG",600 Cleveland St Ste 100 ,Clearwater,FL,33755,Live venue operator or promoter
271741.05,ED FLETCHERS EARLY BIRD DINNER THEATRE INC - SVOG,2056 Attache Court,Clearwater,FL,33764,Theatrical producer
157261.87,"Francis Wilson Playhouse, Inc - SVOG",302 Seminole Street ,Clearwater,FL,33755,Live venue operator or promoter
9301936.95,"Ruth Eckerd Hall, Inc - SVOG",1111 MCMULLEN BOOTH ROAD ,Clearwater,FL,33759,Live performing arts organization operator
485601.75,"Sunsets at Pier 60 Society, Inc - SVOG",1 causeway blvd,Clearwater,FL,33767,Live venue operator or promoter
40639.56,"Wiley House Concerts, Inc. - SVOG",1204 Rogers Street ,Clearwater,FL,33756,Live venue operator or promoter
7087022.70,"Clearwater Marine Aquarium, Inc - SVOG",249 Windward Psge ,Clearwater Beach,FL,33767,Museum Operator
86987.81,Surfside Players Inc. - SVOG,301 Ramp Road ,Cocoa Beach,FL,32931,Live performing arts organization operator
3191463.88,Coconut Creek Cinema LLC - SVOG,4441 Lyons Road ,Coconut Creek,FL,33073,Motion picture theater operator
628239.60,ADC DR LLC - SVOG,3113 NW 83rd Way ,Cooper City,FL,33280,Live venue operator or promoter
1142933.00,ADC Productions LLC - SVOG,3113 NW 83RD WAY ,Cooper City,FL,33024,Live venue operator or promoter
47864.79,2PK Entertainment LLC - SVOG,1212 Medina Avenue,Coral Gables,FL,33134,Talent representative
765082.40,Actors' Playhouse Productions Inc - SVOG,280 Miracle Mile ,Coral Gables,FL,33134,Live performing arts organization operator
773625.60,Catarsis Inc. - SVOG,3715 SW 8St ,Coral Gables,FL,33134,Live performing arts organization operator
251281.55,"Coral Gables Cinemateque, Inc. - SVOG",260 Aragon Ave ,Coral Gables,FL,33134,Motion picture theater operator
166761.29,GableStage - SVOG,1200 Anastasia Ave. Suite 230,Coral Gables,FL,33134,Live performing arts organization operator
196293.34,"LITUS MUSIC ENTERTAINMENT, LLC - SVOG",5865 SW 119th street ,Coral Gables,FL,33156,Talent representative
109648.50,Venelatin Productions LLC - SVOG,220 Miracle Mile Suite 209,Coral Gables,FL,33134,Live venue operator or promoter
59784.94,Villain Theater Inc - SVOG,"815 Ponce de Leon Blvd, #FL3",Coral Gables,FL,33134,Live venue operator or promoter
381834.00,Arts Center Management - SVOG,8999 NW 49th PL ,Coral Springs,FL,33067,Live venue operator or promoter
23976.00,"big beat productions, inc - SVOG",1515 N University Dr Ste 106,Coral Springs,FL,33071,Talent representative
27494.00,COAST 2 COAST STAR ENTERTAINMENT - SVOG,1439 NW 126TH DR ,Coral Springs,FL,33071,Talent representative
48266.06,South Florida Winter Guard Association INC - SVOG,2155 NW 111 Terrace ,Coral Springs,FL,33071,Live performing arts organization operator
45656.62,"Yiddishkayt Initiative, Inc. - SVOG",P.O. Box 9446 ,Coral Springs,FL,33075,Theatrical producer
19367.55,Backbone Booking LLC - SVOG,65 Mysterious Waters Rd,Crawfordville,FL,32327,Live venue operator or promoter
1137869.76,Twin Creeks Cinema LLC - SVOG,2828 Richburg Lane,Crestview,FL,32539,Motion picture theater operator
342834.33,"AUL TOURING & TALENT AGENCY, INC - SVOG",21880 Old Cutler Rd ,Cutler Bay,FL,33190,Talent representative
47539.50,Atlantic Coast Theatre ACT For Youth - SVOG,216 Clarinet Way ,Davenport,FL,33896,Live performing arts organization operator
506982.50,Odd-o-Ts' Entertainment L.L.C. - SVOG,316 Petes Ln. ,Davenport,FL,33837,Theatrical producer
